Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
Chicken pox,itching,skin_rash,fatigue,lethargy
Typhoid,chills,vomiting,fatigue,high_fever
Hepatitis B,itching,fatigue,lethargy,dark_urine
Varicose veins,fatigue,cramps,bruising,obesity
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Malaria,chills,vomiting,high_fever,sweating
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Varicose veins,fatigue,cramps,bruising,swollen_legs
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Jaundice,itching,vomiting,weight_loss,high_fever
Chicken pox,itching,skin_rash,fatigue,lethargy
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
GERD,stomach_pain,acidity,ulcers_on_tongue,cough
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Gastroenteritis,vomiting,sunken_eyes,diarrhoea,
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Common Cold,continuous_sneezing,chills,fatigue,cough
